state,region,year,total_damages_cr,crops_damage_cr,houses_damage_cr,public_util_damage_cr
Assam,Northeast,1985,54.74,1.98,0.0,52.75
Assam,Northeast,1986,204.6,98.01,0.97,105.62
Assam,Northeast,1987,346.6,139.04,75.21,132.35
Assam,Northeast,1988,663.84,334.1,103.92,225.82
Assam,Northeast,1989,308.62,69.15,16.25,223.22
Assam,Northeast,1990,74.54,63.7,4.19,6.65
Assam,Northeast,1991,192.64,117.05,43.17,32.43
Assam,Northeast,1992,25.09,17.9,2.21,4.98
Assam,Northeast,1993,85.32,51.09,17.77,16.46
Assam,Northeast,1994,8.75,8.38,0.37,0.0
Assam,Northeast,1995,0.0,0.0,0.0,0.0
Assam,Northeast,1996,60.12,52.04,8.07,0.0
Assam,Northeast,1997,36.36,19.46,9.99,6.92
Assam,Northeast,1998,579.91,463.3,33.65,82.96
Assam,Northeast,1999,54.15,50.46,1.5,2.19
Assam,Northeast,2000,244.06,173.52,16.49,54.06
Assam,Northeast,2001,11.15,8.36,2.6,0.2
Assam,Northeast,2002,753.03,145.6,41.19,566.24
Assam,Northeast,2003,347.09,147.0,18.69,181.4
Assam,Northeast,2004,57.35,37.47,2.19,17.69
Assam,Northeast,2005,32.88,23.47,9.34,0.07
Assam,Northeast,2006,2.98,1.11,1.63,0.24
Assam,Northeast,2007,0.0,0.0,0.0,0.0
Assam,Northeast,2008,3.55,3.29,0.03,0.23
Assam,Northeast,2009,0.0,0.0,0.0,0.0
Assam,Northeast,2010,67.57,36.79,11.0,19.78
Assam,Northeast,2011,0.0,0.0,0.0,0.0
Assam,Northeast,2012,3200.31,0.0,0.0,3200.31
Assam,Northeast,2013,13.84,0.0,0.0,13.84
Assam,Northeast,2014,2.39,0.0,0.0,2.39
Assam,Northeast,2015,3.32,,,3.32
Assam,Northeast,2016,17.89,,,17.89
Assam,Northeast,2017,4164.81,178.69,90.94,3895.18
Assam,Northeast,2018,2480.98,23.49,84.01,2373.48
Assam,Northeast,2019,3121.98,167.47,151.4,2803.11
Assam,Northeast,2020,2439.73,145.87,93.36,2200.5
Assam,Northeast,2021,1072.43,8.56,12.73,1051.14
Assam,Northeast,2022,2397.9,154.59,151.14,2092.17
Assam,Northeast,2023,71.44,18.01,3.83,49.6
Bihar,Indo_Gangetic_Plain,1953,36.5,29.0,6.0,
Bihar,Indo_Gangetic_Plain,1954,21.5,15.0,5.0,
Bihar,Indo_Gangetic_Plain,1955,21.63,20.3,1.12,
Bihar,Indo_Gangetic_Plain,1956,5.73,5.22,0.51,
Bihar,Indo_Gangetic_Plain,1957,0.0,0.0,0.0,
Bihar,Indo_Gangetic_Plain,1958,3.21,3.2,0.0,
Bihar,Indo_Gangetic_Plain,1959,0.0,0.0,0.0,
Bihar,Indo_Gangetic_Plain,1960,0.01,0.0,0.0,
Bihar,Indo_Gangetic_Plain,1961,13.25,13.25,0.0,
Bihar,Indo_Gangetic_Plain,1962,10.13,9.57,0.52,
Bihar,Indo_Gangetic_Plain,1963,0.76,0.76,0.01,
Bihar,Indo_Gangetic_Plain,1964,13.27,11.09,0.48,
Bihar,Indo_Gangetic_Plain,1965,1.8,1.8,0.0,
Bihar,Indo_Gangetic_Plain,1966,39.0,39.0,0.0,
Bihar,Indo_Gangetic_Plain,1967,19.67,19.34,0.27,
Bihar,Indo_Gangetic_Plain,1968,10.16,10.14,0.01,
Bihar,Indo_Gangetic_Plain,1969,36.0,28.8,0.0,
Bihar,Indo_Gangetic_Plain,1970,15.08,14.74,0.32,
Bihar,Indo_Gangetic_Plain,1971,217.44,143.91,29.31,
Bihar,Indo_Gangetic_Plain,1972,1.7,1.62,0.07,
Bihar,Indo_Gangetic_Plain,1973,20.06,19.71,0.35,
Bihar,Indo_Gangetic_Plain,1974,381.84,294.95,52.88,
Bihar,Indo_Gangetic_Plain,1975,265.76,136.55,9.69,
