region,year,PR_gev_pooled
Central_India,1860,0.7065309632682701
Central_India,1861,0.9541802101165917
Central_India,1862,1.037988189815389
Central_India,1863,1.0403579256334063
Central_India,1864,1.632313346105937
Central_India,1865,1.9184539143782513
Central_India,1866,1.6077978458995679
Central_India,1867,1.8290172974869252
Central_India,1868,1.6691804867735671
Central_India,1869,1.2886778537394996
Central_India,1870,1.210803538040428
Central_India,1871,1.2954015848246445
Central_India,1872,1.3475587784700462
Central_India,1873,1.4044104061245613
Central_India,1874,0.914663691145245
Central_India,1875,0.8842293231635451
Central_India,1876,0.708133335803262
Central_India,1877,0.7349919694051025
Central_India,1878,0.8238698162336885
Central_India,1879,1.1016984196503958
Central_India,1880,1.0239610246155137
Central_India,1881,1.3311705635788502
Central_India,1882,1.000364786819941
Central_India,1883,0.6414854564498448
Central_India,1884,0.7085685071051347
Central_India,1885,0.6400030410819934
Central_India,1886,0.5219377723700542
Central_India,1887,0.9160292441371013
Central_India,1888,1.2478615174298942
Central_India,1889,1.2382616875879007
Central_India,1890,1.253927281341849
Central_India,1891,1.5364562460912623
Central_India,1892,1.5511904868006308
Central_India,1893,1.3959363665784041
Central_India,1894,1.3192934222682504
Central_India,1895,1.46578724864126
Central_India,1896,1.5216037213072062
Central_India,1897,1.4637652285765281
Central_India,1898,1.371411898527732
Central_India,1899,1.374134015137335
Central_India,1900,1.052625081487193
Central_India,1901,0.8726125938834653
Central_India,1902,0.8638108331968712
Central_India,1903,0.9245580606973545
Central_India,1904,0.8811846301039312
Central_India,1905,0.9792703852854857
Central_India,1906,0.9086722475186118
Central_India,1907,1.016892666690363
Central_India,1908,1.2415794272617102
Central_India,1909,1.4253004609245987
Central_India,1910,1.2290794055585184
Central_India,1911,1.0243367948533162
Central_India,1912,0.6619838321042062
Central_India,1913,0.47420306673900253
Central_India,1914,0.2631162325767959
Central_India,1915,0.2876937128355958
Central_India,1916,0.4698369705215169
Central_India,1917,0.7858907022170071
Central_India,1918,0.9877293100955692
Central_India,1919,1.1175474373453376
Central_India,1920,1.5028924865745625
Central_India,1921,1.4714962886285503
Central_India,1922,1.1169488976747532
Central_India,1923,1.2840406333228107
Central_India,1924,1.351862648142597
Central_India,1925,0.6983500869897308
Central_India,1926,0.8263809794059664
Central_India,1927,0.9440439822165906
Central_India,1928,0.8467796375710004
Central_India,1929,0.7842608217833521
Central_India,1930,1.605123503821625
Central_India,1931,1.9997863612060853
Central_India,1932,1.9263970432158628
Central_India,1933,2.723884239218388
Central_India,1934,2.507700174105194
Central_India,1935,2.0820443015437795
Central_India,1936,1.532663783477399
Central_India,1937,1.3551817607726826
Central_India,1938,1.262082671789717
Central_India,1939,1.3230292304074809
Central_India,1940,1.2469498757227773
Central_India,1941,0.9107555725464127
Central_India,1942,0.9970048209445637
Central_India,1943,1.0192525410199498
Central_India,1944,0.8779068329869781
Central_India,1945,0.9529271589949215
Central_India,1946,1.1084123562024386
Central_India,1947,0.9892593862783075
Central_India,1948,0.7775077720885497
Central_India,1949,0.8552421998355448
Central_India,1950,0.6723484160106062
Central_India,1951,0.7785684933275648
Central_India,1952,1.0084061441842127
Central_India,1953,1.2599428688164525
Central_India,1954,1.2669287430318905
Central_India,1955,1.8393202457406777
Central_India,1956,1.6433166097131504
Central_India,1957,1.4003575276628701
Central_India,1958,1.6075123489407155
Central_India,1959,1.919778615260863
Central_India,1960,1.2485581614428103
Central_India,1961,1.3428607463014544
Central_India,1962,1.241432736093529
Central_India,1963,0.9244069270765723
Central_India,1964,0.9114573842826
Central_India,1965,1.2456622562604258
Central_India,1966,1.3077325715011305
Central_India,1967,1.740029418040665
Central_India,1968,1.6827020759393547
Central_India,1969,1.5462497034800247
Central_India,1970,1.4381565402737102
Central_India,1971,1.4525634945906454
Central_India,1972,1.436858307715937
Central_India,1973,0.9563826445151979
Central_India,1974,0.828707748371283
Central_India,1975,0.8159251051372779
Central_India,1976,0.7304999605600949
Central_India,1977,0.8031027874982654
Central_India,1978,1.0139200208981978
Central_India,1979,1.0440946305752996
Central_India,1980,1.0693067353483865
Central_India,1981,1.1435900881197139
Central_India,1982,1.0096956347591575
Central_India,1983,1.0609185201704647
Central_India,1984,0.9860968939567905
Central_India,1985,1.0406518591691438
Central_India,1986,0.7578654757991581
Central_India,1987,0.7801388246660262
Central_India,1988,0.6970483188213025
Central_India,1989,0.9068870753296423
Central_India,1990,0.8585818117966001
Central_India,1991,1.0466165438741122
Central_India,1992,1.025431452525372
Central_India,1993,1.0124805467086224
Central_India,1994,1.1073192016825166
Central_India,1995,0.9212794933451034
Central_India,1996,1.2843756636829862
Central_India,1997,1.4662401045290334
