region,method,PR_present,delta,delta_ci_5,delta_ci_95,pct_capped_ant,pct_capped_nat,delta_rank,PR_rank
Central_India,f(R) propagation,1.1755368611358306,1.0481100021890348,1.0202334192831022,1.0765281472167747,2.6666666666666665,1.5,3,4
Indo_Gangetic_Plain,FAR x AAL fallback (Delta=PR),1.2322322376528954,1.2322322376528954,1.142625168517064,1.3671978512716174,,,2,3
Northeast,f(R) propagation,1.3669951621588925,1.0061563768339556,0.9810640529251735,1.0341532656464563,6.333333333333333,4.166666666666667,4,1
Western_Ghats,f(R) propagation,1.3282233021971663,1.3012417814709707,1.1598000337849326,1.4552851685341033,10.5,10.333333333333334,1,2
