state,year,rx5day_mm
Goa,2016,350.2041303607779
Goa,2017,303.58286391321565
Goa,2018,378.1695081376933
Goa,2019,444.3907449825909
Goa,2020,386.7259799642582
Haryana,2000,97.908981674381
Haryana,2001,108.74126566848986
Haryana,2002,90.76880018485065
Haryana,2003,125.1471440044018
Haryana,2004,80.63375165805174
Haryana,2005,136.68371308411295
Haryana,2006,120.57727958959175
Haryana,2007,81.51486295764234
Haryana,2008,123.47764109573598
Haryana,2009,103.56206318974857
Haryana,2010,138.8308168942046
Haryana,2011,113.33417814178932
Haryana,2012,169.09581036698924
Haryana,2013,89.75912994711406
Haryana,2014,77.14604758924663
Haryana,2015,126.24573654034813
Haryana,2016,102.40705998446961
Haryana,2017,102.09295975338063
Haryana,2018,119.37432489540963
Haryana,2019,82.14852271298749
Haryana,2020,94.44236947855818
Jharkhand,2000,137.34261843557653
Jharkhand,2001,134.3362939200945
Jharkhand,2002,180.40675797542028
Jharkhand,2003,137.2158640372087
Jharkhand,2004,120.47503594551482
Jharkhand,2005,133.17021578956053
Jharkhand,2006,154.74153444686382
Jharkhand,2007,187.17548466612806
Jharkhand,2008,172.43405304871115
Jharkhand,2009,192.6209186497713
Jharkhand,2010,93.30363165733411
Jharkhand,2011,242.99301343062263
Jharkhand,2012,121.24165819500998
Jharkhand,2013,109.83392911830015
Jharkhand,2014,182.19017720957072
Jharkhand,2015,165.2638163559433
Jharkhand,2016,166.33797303013952
Jharkhand,2017,167.05889145265223
Jharkhand,2018,130.6350675138169
Jharkhand,2019,154.93450823804335
Jharkhand,2020,135.0787577325567
Karnataka,2000,143.57644245286463
Karnataka,2001,94.96666484833504
Karnataka,2002,97.12962827023958
Karnataka,2003,104.17141877734413
Karnataka,2004,99.32769803409096
Karnataka,2005,122.57694222614056
Karnataka,2006,102.61132698912398
Karnataka,2007,161.00120726969195
Karnataka,2008,129.0272333670117
Karnataka,2009,156.4795362919598
Karnataka,2010,121.9240689455547
Karnataka,2011,136.94209431557542
Karnataka,2012,106.84855580725944
Karnataka,2013,125.6997562499715
