region,year,P_ant,P_nat,PR,FAR,PR_boot_5,PR_boot_95,significant,n_boot_failed
Central_India,1860,0.085,0.105,0.8095238095238096,-0.23529411764705865,0.5944103194103194,1.0972630718954246,False,0
Central_India,1861,0.08166666666666667,0.10833333333333334,0.7538461538461538,-0.3265306122448979,0.5635367372353675,1.0161422527763089,False,0
Central_India,1862,0.085,0.10166666666666667,0.8360655737704918,-0.196078431372549,0.5970149253731344,1.142857142857143,False,0
Central_India,1863,0.09,0.10166666666666667,0.8852459016393442,-0.12962962962962976,0.6527146464646465,1.2084935897435896,False,0
Central_India,1864,0.09833333333333333,0.1,0.9833333333333333,-0.016949152542372836,0.7311397557666215,1.3181818181818181,False,0
Central_India,1865,0.09833333333333333,0.09666666666666666,1.0172413793103448,0.016949152542372836,0.7083012820512821,1.4313725490196079,False,0
Central_India,1866,0.095,0.09,1.0555555555555556,0.052631578947368474,0.7451048951048952,1.5,False,0
Central_India,1867,0.09333333333333334,0.09833333333333333,0.9491525423728815,-0.05357142857142838,0.6900600323250982,1.3000943396226414,False,0
Central_India,1868,0.09666666666666666,0.10333333333333333,0.9354838709677419,-0.06896551724137945,0.6612903225806451,1.2586206896551726,False,0
Central_India,1869,0.09666666666666666,0.10666666666666667,0.9062499999999999,-0.10344827586206917,0.6337793427230046,1.2105263157894737,False,0
Central_India,1870,0.10333333333333333,0.10333333333333333,1.0,0.0,0.7287365177195686,1.354458333333333,False,0
Central_India,1871,0.105,0.10833333333333334,0.9692307692307691,-0.031746031746031855,0.7,1.3207884097035039,False,0
Central_India,1872,0.10833333333333334,0.10833333333333334,1.0,0.0,0.7141774891774891,1.3710468058191017,False,0
Central_India,1873,0.11333333333333333,0.10666666666666667,1.0624999999999998,0.0588235294117645,0.7563946216385241,1.4627665245202557,False,0
Central_India,1874,0.11,0.10166666666666667,1.081967213114754,0.07575757575757569,0.76607997265892,1.519310897435897,False,0
Central_India,1875,0.10666666666666667,0.095,1.1228070175438598,0.10937500000000011,0.7924135220125786,1.577958656330749,False,0
Central_India,1876,0.105,0.09333333333333334,1.125,0.11111111111111116,0.7777777777777779,1.5655279503105588,False,0
Central_India,1877,0.10666666666666667,0.09833333333333333,1.0847457627118646,0.07812500000000022,0.7891891891891892,1.5106877783275605,False,0
Central_India,1878,0.10166666666666667,0.09166666666666666,1.1090909090909091,0.09836065573770492,0.8208955223880596,1.4812405731523373,False,0
Central_India,1879,0.095,0.09,1.0555555555555556,0.052631578947368474,0.7678571428571429,1.4347826086956523,False,0
Central_India,1880,0.09666666666666666,0.09333333333333334,1.0357142857142856,0.0344827586206895,0.7575757575757576,1.365408067542214,False,0
Central_India,1881,0.09666666666666666,0.09333333333333334,1.0357142857142856,0.0344827586206895,0.753835005574136,1.428733766233766,False,0
Central_India,1882,0.095,0.09166666666666666,1.0363636363636364,0.03508771929824561,0.75,1.409288537549407,False,0
Central_India,1883,0.095,0.09,1.0555555555555556,0.052631578947368474,0.7741202346041055,1.4667375886524823,False,0
Central_India,1884,0.09833333333333333,0.09166666666666666,1.0727272727272728,0.06779661016949157,0.7775985663082438,1.500581395348837,False,0
Central_India,1885,0.09666666666666666,0.09,1.0740740740740742,0.06896551724137945,0.7746478873239436,1.5744946808510638,False,0
Central_India,1886,0.09833333333333333,0.09833333333333333,1.0,0.0,0.7205588235294118,1.3829787234042552,False,0
Central_India,1887,0.09833333333333333,0.08833333333333333,1.1132075471698113,0.10169491525423724,0.7656249999999999,1.59547619047619,False,0
Central_India,1888,0.1,0.08166666666666667,1.2244897959183674,0.18333333333333335,0.8569086651053864,1.7999999999999998,False,0
