region,year,PR,FAR,PR_ci_5,PR_ci_95,significant
Central_India,1860,1.006043336264334,0.00600703373949496,0.911300432015069,1.1347680991764812,False
Central_India,1861,0.9983522041990919,-0.0016505155134405314,0.899162914972317,1.1330100795430575,False
Central_India,1862,1.0124755720784488,0.012321849951242303,0.9112079935709094,1.1379192993477145,False
Central_India,1863,1.0152357910252887,0.015007145295677593,0.9192958311189073,1.1432617316382894,False
Central_India,1864,1.038637071879879,0.03719978125751655,0.9481444669628104,1.1689411810906425,False
Central_India,1865,1.0594341436344812,0.056099894449868515,0.949715657007709,1.2032102026115854,False
Central_India,1866,1.038050263836296,0.03665551193607397,0.940155619005626,1.1694312341823476,False
Central_India,1867,1.0081483548398706,0.008082495796131961,0.9128512901718611,1.136523355613427,False
Central_India,1868,0.9975225853756465,-0.0024835674506762384,0.9044713394563372,1.1346579216200947,False
Central_India,1869,0.9696969900896538,-0.031249978312858806,0.8794341720674332,1.0942051459945912,False
Central_India,1870,1.006759801140832,0.006714413043878098,0.9128850700159099,1.1395242671528223,False
Central_India,1871,1.0056715661824545,0.005639580925991372,0.9005323621600944,1.1547930990127317,False
Central_India,1872,1.013139167699401,0.012968768870358582,0.9236463658620122,1.157196283223653,False
Central_India,1873,1.0265235463057913,0.025838224949873867,0.9360393572472278,1.164434484215322,False
Central_India,1874,1.0073067961538555,0.007253794158596616,0.9220748742705047,1.1377881559595342,False
Central_India,1875,1.0032457099894538,0.0032352094378633733,0.9086262360592724,1.1280970647868105,False
Central_India,1876,0.9816325204845283,-0.018711156295438958,0.9026592251972355,1.1062787839480777,False
Central_India,1877,0.9665647350899531,-0.03459185266772158,0.8781424332838664,1.0938574144001716,False
Central_India,1878,0.9563217547832137,-0.04567316909640695,0.8758693862854555,1.0664858219996962,False
Central_India,1879,0.9411091882956963,-0.06257596083080652,0.8531214855967547,1.0581243220157188,False
Central_India,1880,0.9423319783688892,-0.061197139601406825,0.8668330509433461,1.0445788114221746,False
Central_India,1881,0.9509222691673853,-0.05161066516570956,0.8618865382773329,1.072494074048215,False
Central_India,1882,0.9604035697200094,-0.04122894950456546,0.8807672168561901,1.080308648046676,False
Central_India,1883,0.9636695858169005,-0.03770007346688464,0.8802606723167062,1.081023519423675,False
Central_India,1884,0.9679984166226787,-0.03305954103620756,0.8851501755884679,1.0880360451495743,False
Central_India,1885,0.9768720959021776,-0.02367546805240961,0.901656680901299,1.098566978431962,False
Central_India,1886,0.970623699671767,-0.03026538537866652,0.8879615549244063,1.074928140723929,False
Central_India,1887,1.0215328239043209,0.021078934910796043,0.9452159187214293,1.1425626139955734,False
Central_India,1888,1.044195479229998,0.04232490956826218,0.9574229184310493,1.1651070516230801,False
Central_India,1889,1.0933370725473932,0.08536898170838092,0.9925243668440328,1.2292647167980486,False
Central_India,1890,1.0877752363883904,0.08069243852233665,0.9976630511347534,1.21396487010275,False
Central_India,1891,1.0649820622347916,0.061017048586181066,0.9876512408543843,1.1826365146739997,False
Central_India,1892,1.0755950775996987,0.07028209702148969,0.9865762535552028,1.1964280218859933,False
Central_India,1893,1.0558654323920662,0.05290961393205473,0.9731399107974006,1.1726255412057767,False
Central_India,1894,1.0577434483646877,0.054591166179248196,0.9572038550611913,1.1820186465445897,False
Central_India,1895,1.0763071356306442,0.07089717526209027,0.9815776607674028,1.2100671717478602,False
Central_India,1896,1.0816226760392635,0.07546317014927362,0.9824303104479601,1.2211413377650386,False
Central_India,1897,1.0632929369544766,0.059525399590975026,0.9554137608255776,1.2017007534636137,False
Central_India,1898,1.0776526039658592,0.07205717657071542,0.97418992765884,1.2381260921449035,False
Central_India,1899,1.0985299650654048,0.0896925602384806,0.9927025787623636,1.2462623147324106,False
Central_India,1900,1.0968910008002737,0.08833238738359928,0.9941210984503985,1.2551313290045465,False
Central_India,1901,1.0874862965143055,0.0804481829285788,0.986928807967857,1.243020744265013,False
Central_India,1902,1.0953405845082356,0.08704195376001678,0.9820539637651704,1.2696877457668259,False
Central_India,1903,1.0997651436921474,0.09071495333741386,0.9860313761088483,1.2678510594179058,False
Central_India,1904,1.0741885515230774,0.06906473860467643,0.9612193548521438,1.2453142493099207,False
Central_India,1905,1.0539295614279245,0.051169986497824005,0.9482197620201528,1.212237477665263,False
Central_India,1906,1.0213905512451644,0.020942577958144915,0.9278803614370289,1.1576776472814825,False
Central_India,1907,1.0169404284810988,0.016658230911717253,0.9299589123720491,1.1491141175931947,False
Central_India,1908,0.989161179371091,-0.010957587959325554,0.9066178170851148,1.1201107349783415,False
Central_India,1909,0.9776350424007993,-0.02287659160035682,0.8957288926543102,1.0981961185126017,False
Central_India,1910,0.9735978270024925,-0.027118151114607913,0.8983955594906557,1.091126286620976,False
Central_India,1911,0.9864463222599467,-0.013739903970650724,0.903288357056851,1.1064601053299148,False
Central_India,1912,0.9872315350478018,-0.01293360726324444,0.9022873705749035,1.105086320570572,False
Central_India,1913,1.035898871272575,0.03465480296206336,0.9541016147553271,1.1592307016302308,False
Central_India,1914,1.037483569653455,0.036129313995763246,0.9530195402761302,1.1522090623111552,False
Central_India,1915,1.023468020025753,0.02292990065792444,0.9338064199981466,1.1422686340632153,False
Central_India,1916,1.035922049833399,0.034676402379094196,0.9518245288007464,1.1564885089848471,False
Central_India,1917,1.0428447663953124,0.04108451015524506,0.9626864081077787,1.1699437584428056,False
Central_India,1918,1.0120478475873422,0.011904424890644805,0.931654662487426,1.1314342483869433,False
Central_India,1919,1.0224133888623925,0.021922041618929855,0.9327134148480933,1.1406907034013583,False
Central_India,1920,1.008092929964042,0.008027960244032961,0.9252608087453198,1.1156217115025435,False
Central_India,1921,1.0051356826090883,0.005109442135968423,0.9264965517669297,1.1149417961038526,False
Central_India,1922,0.9878761366413982,-0.012272655355175077,0.9146261662209506,1.0864938637655868,False
Central_India,1923,1.0250930404793768,0.02447879313241874,0.9407079142972415,1.13943185084078,False
Central_India,1924,1.0597338629444968,0.05636685306867972,0.9641000333890255,1.1855304474870365,False
Central_India,1925,1.071685899772539,0.0668907744216416,0.9803675731592676,1.2078849811736496,False
Central_India,1926,1.127208606837537,0.11285276395682409,1.0280291889389253,1.2732256951200793,True
Central_India,1927,1.1140559407140374,0.10237900678572287,1.0141463865711804,1.262226416163804,True
Central_India,1928,1.1478470520912056,0.12880379125585628,1.0523850130590964,1.2914954747029472,True
Central_India,1929,1.1495605973993246,0.13010240411656304,1.0516019974880813,1.3021352897973077,True
Central_India,1930,1.1396770493764814,0.12255844710823904,1.0489025733497856,1.2984235828256796,True
Central_India,1931,1.1323628129139556,0.11689081573894233,1.0366323959841564,1.2871245154374287,True
Central_India,1932,1.1385748448296629,0.12170903428873348,1.0359146338973089,1.2861563740417898,True
Central_India,1933,1.112730890962794,0.1013101117964409,1.017867955698196,1.258845720735722,True
Central_India,1934,1.0823356132658297,0.07607216491508673,0.9850367602501328,1.2149329565909155,False
Central_India,1935,1.077925859026445,0.0722924108127675,0.988190491730843,1.214018537150705,False
Central_India,1936,1.0774955486316857,0.07192191998388997,0.9813623661639352,1.207144418797433,False
Central_India,1937,1.0777527638644862,0.0721434140291034,0.9903396153153861,1.1966041470775628,False
Central_India,1938,1.1184049034908214,0.10586944238285267,1.025879818293138,1.2477117210725848,True
Central_India,1939,1.0966995200131224,0.08817321266992562,1.006798014946504,1.2308107041102605,True
Central_India,1940,1.08928719073672,0.08196845744264403,0.9935334634142953,1.2219021001076913,False
Central_India,1941,1.0778730632762832,0.07224697038033556,0.9971954799952097,1.200334773162593,False
Central_India,1942,1.0904569439580827,0.08295324676437643,1.0003315312302363,1.2115570955054096,True
Central_India,1943,1.0483575862189995,0.04612699603138826,0.9568898364666535,1.181704936007487,False
Central_India,1944,1.0230838392133792,0.022562998581941995,0.9286482126431673,1.1485886637346783,False
Central_India,1945,1.0357301584655092,0.034497555346312714,0.9423425780529118,1.1633600019802925,False
Central_India,1946,1.024113837109547,0.023546051460066053,0.934330766599096,1.1456794401226003,False
Central_India,1947,1.0360420736111027,0.03478823353715621,0.9513084341844755,1.159006597735141,False
Central_India,1948,1.043335615160158,0.04153564253963071,0.9569487123245122,1.166536702576978,False
Central_India,1949,1.0292347046258663,0.02840431292733503,0.9458670171073174,1.1605744546646086,False
Central_India,1950,1.0303737159494981,0.0294783489517767,0.9398090255006818,1.1575527491168274,False
Central_India,1951,1.0559636536476142,0.05299770825851724,0.9728814979635633,1.1759326352047632,False
Central_India,1952,1.054074128579923,0.0513001193310505,0.966418126760691,1.1741967247411982,False
Central_India,1953,1.0526138558305862,0.0499840046177904,0.9662752446030114,1.1669572912037778,False
Central_India,1954,1.077156886209015,0.0716301285326818,0.9916331959755239,1.2000410125988756,False
Central_India,1955,1.0900343888771522,0.08259775085618803,1.0135221984932072,1.1987735397693662,True
Central_India,1956,1.0535604383279689,0.050837556517375315,0.9801739003647174,1.156976220552944,False
Central_India,1957,1.0788229189656038,0.07306381573834264,1.0038788479414267,1.1941956156085527,True
Central_India,1958,1.0837646078366416,0.07729040718892688,1.0097046159399006,1.1974745490042944,True
Central_India,1959,1.108955602970031,0.09825064473115375,1.0323325438921227,1.2273569990424142,True
Central_India,1960,1.1311415559496385,0.11593735130660987,1.0510885124617455,1.2496671591173245,True
Central_India,1961,1.1600646790438154,0.13797909886865,1.0760291902865644,1.2954556957524024,True
Central_India,1962,1.1669138725378807,0.14303872502163806,1.07839008398269,1.312451642985522,True
Central_India,1963,1.1643270670463384,0.14113479940237306,1.0691846307704485,1.2988380929037853,True
Central_India,1964,1.2059951121765224,0.17080924300327582,1.100681683445424,1.3581146677212197,True
Central_India,1965,1.199684249995184,0.166447338119164,1.0999345147955117,1.3386102468555567,True
Central_India,1966,1.1540251700010784,0.1334677734983324,1.0636258322450372,1.2880884724289725,True
Central_India,1967,1.1319055057223364,0.11653402607858121,1.0315823128255743,1.2822088146512727,True
Central_India,1968,1.1073207123013156,0.09691926747967505,1.0138646242839695,1.245205377319906,True
Central_India,1969,1.1287649172014855,0.11407593843430985,1.0295407684164328,1.280376077474958,True
Central_India,1970,1.147458143867615,0.1285085165464891,1.0568326198953624,1.294981118280752,True
Central_India,1971,1.1551571592173773,0.13431692647128357,1.0575902519889628,1.3012841843072696,True
Central_India,1972,1.14576782968481,0.12722283337708074,1.0461591534966983,1.2954323102586027,True
Central_India,1973,1.1318518978570309,0.11649218250786175,1.0505368154136558,1.2630851590108798,True
Central_India,1974,1.1384791227457973,0.12163518854154454,1.0501726080960971,1.2762310947441666,True
Central_India,1975,1.140066141184212,0.12285790808480823,1.0522635035344126,1.2677411177122642,True
Central_India,1976,1.1849253979832846,0.15606501328946387,1.090770565158478,1.3396581168247246,True
Central_India,1977,1.149781075992964,0.13026921308790151,1.055699863086989,1.2881324839372892,True
Central_India,1978,1.1360290445087247,0.119740815753131,1.03580579675126,1.27967956762845,True
Central_India,1979,1.0983174824849904,0.08951645043702927,1.001368511800268,1.2330064450130485,True
Central_India,1980,1.0893313205722763,0.08200564776320429,0.989053360630963,1.2304602867341683,False
Central_India,1981,1.0916308304208076,0.08393939403991113,1.0034369316673417,1.2231719718435219,True
Central_India,1982,1.0741329584220862,0.06901655688043351,0.974974137983136,1.2040551174336436,False
Central_India,1983,1.0775561093429078,0.07197407974439629,0.9798278067879602,1.219465672834667,False
Central_India,1984,1.0655213790379343,0.06149231758924811,0.9755588740576133,1.19397559828074,False
Central_India,1985,1.046554361759276,0.044483462551355046,0.9731078124393543,1.1732838924207065,False
Central_India,1986,1.0886131461822535,0.0814000331458592,1.0103238737423785,1.205250848213667,True
Central_India,1987,1.1414999002435366,0.12395962558853302,1.050511630208156,1.2737545424385335,True
Central_India,1988,1.1267007011728938,0.11245284665306277,1.0483360252678366,1.246526554971266,True
Central_India,1989,1.1423744651120402,0.12463029370853151,1.0715334206525482,1.2573800730697513,True
Central_India,1990,1.1190905658059218,0.10641727260041534,1.049517394345741,1.2404570331760447,True
Central_India,1991,1.1035574128260293,0.09383962413050695,1.0261605535640936,1.2109760555158546,True
Central_India,1992,1.146468367166403,0.12775613471866865,1.0689010786342035,1.2799184026795452,True
Central_India,1993,1.1753760975921834,0.14920849415897608,1.0847307269891273,1.3000687100678499,True
Central_India,1994,1.1522162387780759,0.13210735420592667,1.0748787172364176,1.2709615181090042,True
Central_India,1995,1.1630796077439147,0.14021362480961097,1.094123999331482,1.2869014479418144,True
Central_India,1996,1.1634846583297456,0.14051294717064677,1.0830003168918663,1.284472395633325,True
Central_India,1997,1.1869297892384987,0.1574901825982712,1.1079529841197286,1.3088058965977192,True
Central_India,1998,1.165946874949278,0.14232798982071737,1.0945089616746853,1.2752250598933186,True
Central_India,1999,1.190743301480906,0.16018843124599724,1.1205515900663872,1.3040348287476242,True
Central_India,2000,1.1712612265725015,0.14621949628919984,1.0932851543061912,1.287816700823804,True
Central_India,2001,1.1698378660728064,0.1451806878528894,1.0922611179828048,1.2892612908124894,True
Central_India,2002,1.1655128617635964,0.1420086102809286,1.0898779118063646,1.2858748060572598,True
Central_India,2003,1.1931305358257085,0.16186873944354474,1.103138461925371,1.3263147291725177,True
Central_India,2004,1.191092459561111,0.16043461448116625,1.1130042089033703,1.3213253145931516,True
Central_India,2005,1.1755368611358306,0.14932484632274556,1.0967622321269221,1.2950055140531926,True
Indo_Gangetic_Plain,1860,1.043353518964975,0.04155208965795454,0.9541865206506231,1.1786189876834148,False
Indo_Gangetic_Plain,1861,1.0652220902609935,0.06122863096559816,0.9473389196283398,1.2197264327525075,False
Indo_Gangetic_Plain,1862,1.0583962277726617,0.05517425916714902,0.9625050152867242,1.2089307748359424,False
