region,year,location,scale,shape,shape_scipy,ks_stat,ks_p
Central_India,1860,114.27612940437282,6.9867458442525034,-0.2208414063266117,0.2208414063266117,0.07331958874817313,0.9932348404691845
Central_India,1861,115.01611915561432,8.901881332387934,-0.1916128751386453,0.1916128751386453,0.13283237796960967,0.6177080293069801
Central_India,1862,113.97534321010049,10.115803244955588,-0.17742255883703117,0.17742255883703117,0.08603172491375119,0.9655730046789237
Central_India,1863,113.61893357638805,6.241171159854803,0.0431494780489627,-0.0431494780489627,0.09600852816239647,0.9202328234130233
Central_India,1864,116.21946861386009,7.00526415514815,-0.04348004366911547,0.04348004366911547,0.15762833151273092,0.40335356417847334
Central_India,1865,113.5977895646096,7.749921161294428,-0.1123749222002644,0.1123749222002644,0.0740046950599701,0.9924503632978542
Central_India,1866,113.9834294852854,7.107861862880374,-0.3518788683735281,0.3518788683735281,0.08846681566123615,0.9565462353444644
Central_India,1867,114.0463403286082,9.536685834880611,-0.16507351429207157,0.16507351429207157,0.1196557250584207,0.7393301953967393
Central_India,1868,111.26212477472109,7.980024691014314,0.08693892077088253,-0.08693892077088253,0.12367829259935992,0.7026157356995341
Central_India,1869,114.43622228179174,7.564925091513344,-0.3287609753577385,0.3287609753577385,0.10320325317452889,0.8744150870967689
Central_India,1870,114.36062168635496,6.366838097540063,0.1710098729957555,-0.1710098729957555,0.10156406029096754,0.8857426825858816
Central_India,1871,117.53243042284853,7.606990908594641,-0.04888645617062576,0.04888645617062576,0.09509127233773729,0.9253145141074409
Central_India,1872,118.71253980738248,9.472063087914997,-0.3201628598069445,0.3201628598069445,0.14436232562846596,0.5132376512541368
Central_India,1873,116.03852180301118,8.03246883279228,-0.09685721727681725,0.09685721727681725,0.07255995665504095,0.994031372770982
Central_India,1874,114.29513683029438,7.515382267553349,-0.19523122951014,0.19523122951014,0.11253955405401944,0.801641865739568
Central_India,1875,117.46600905847762,8.557239777962586,-0.757689001127188,0.757689001127188,0.12017452537105855,0.7346392954987506
Central_India,1876,121.39764075916273,12.916944498077847,-0.4029905077337233,0.4029905077337233,0.1022231743165476,0.8812474388625241
Central_India,1877,113.77418609230537,11.700075495266052,-0.26955458811324784,0.26955458811324784,0.12766828046663437,0.6656770591350345
Central_India,1878,119.003275732524,9.086217999746552,-0.3240688250930648,0.3240688250930648,0.11159277654242467,0.8095661453666962
Central_India,1879,114.95533699789483,8.525524011774111,-0.3230810328425906,0.3230810328425906,0.09547217329096902,0.9232260882889167
Central_India,1880,112.89351174602366,8.751443764031379,-0.08255619071280804,0.08255619071280804,0.07325223097338329,0.9933085281525568
Central_India,1881,114.70643877885655,9.799941899994488,-0.16623262507506537,0.16623262507506537,0.08352298539309266,0.973516505341707
Central_India,1882,112.94969500008021,10.408574834565492,-0.18758185354750131,0.18758185354750131,0.12649288167539896,0.6765894977101901
Central_India,1883,115.02841250075934,6.830612230312109,-0.4236953187224619,0.4236953187224619,0.1062178238522089,0.8523496716623578
Central_India,1884,110.4496932533286,7.839914379364542,-0.04431124534799276,0.04431124534799276,0.10277782992355866,0.8774022654712368
Central_India,1885,111.11401230648143,10.462506660217024,-0.05240416066327101,0.05240416066327101,0.12478212729124122,0.6924316333702905
Central_India,1886,116.17491945498602,8.910336480462057,-0.4207787594247661,0.4207787594247661,0.13734537810605651,0.576157067612873
Central_India,1887,114.9058048371417,6.865807947724649,-0.1647071779409457,0.1647071779409457,0.138718044030871,0.5636572972495342
Central_India,1888,113.30888567394256,6.604808300007676,0.18627229333245282,-0.18627229333245282,0.10622021623098898,0.8523315632983876
Central_India,1889,115.43368533822638,9.201444655220211,-0.2148846455129258,0.2148846455129258,0.10506733141438274,0.8609510686783355
Central_India,1890,111.97957434576931,8.682059408310636,-0.04224492407947095,0.04224492407947095,0.07154653487050971,0.9949810872123068
Central_India,1891,116.61058971520646,7.504105678776956,-0.12103101452746773,0.12103101452746773,0.07118743377367853,0.9952883209132508
Central_India,1892,117.301830043726,8.078683869136391,-0.2261792979511587,0.2261792979511587,0.10182789245923751,0.8839530710608877
Central_India,1893,114.3933343195377,8.934542709473781,-0.1868358058400485,0.1868358058400485,0.11447019623069488,0.7851805013452318
Central_India,1894,115.61829522436463,6.767767197483176,-0.4387559738487107,0.4387559738487107,0.14508427541578417,0.5069221282059013
Central_India,1895,113.20076386195284,9.886202898849842,-0.09150236750837827,0.09150236750837827,0.1153607675232673,0.777462348448059
Central_India,1896,112.28749159809163,8.9580433846068,-0.09320478831792484,0.09320478831792484,0.12238264387722292,0.7145186324406685
Central_India,1897,113.80333767892249,7.8474132701588815,-0.2746432906353904,0.2746432906353904,0.09101673314455783,0.9456771521435183
Central_India,1898,113.09308555235631,7.291863405056686,0.03255053638361697,-0.03255053638361697,0.0738942464993147,0.9925812038519376
Central_India,1899,115.63819068740608,7.93619066644033,-0.23971497397828867,0.23971497397828867,0.0992071530495593,0.9011342884795599
Central_India,1900,118.00845321915817,10.540286743417177,-0.7816488911042354,0.7816488911042354,0.1128343980752633,0.7991534130657147
Central_India,1901,115.67325322914648,10.018661045011829,-0.3200738908659072,0.3200738908659072,0.08021869992817654,0.9819761018953391
Central_India,1902,114.75340725778459,9.573901735957453,0.003795599537022814,-0.003795599537022814,0.09078538226620753,0.9467232268327079
Central_India,1903,108.4159426077789,7.049719390746786,0.11200838967254376,-0.11200838967254376,0.09952143041772275,0.8991451107630015
Central_India,1904,112.06112675576475,8.332282035899494,-0.07753605392743737,0.07753605392743737,0.14154755049234297,0.5381652071757103
Central_India,1905,114.37082038896857,8.467554651884003,-0.060741535882051875,0.060741535882051875,0.07255641924158818,0.9940349079770151
Central_India,1906,116.54574864769242,11.73616229982061,-0.31577958479088936,0.31577958479088936,0.12494960289168103,0.6908835659041062
Central_India,1907,111.62668172464294,10.70335298019167,-0.2107002302313245,0.2107002302313245,0.09363856559442041,0.9329921379372105
