region,year,regional_total_cr,deflator_index,regional_total_cr_real_2022
Western_Ghats,1981,56.91,6.88862716034943,826.1442908039924
Western_Ghats,1982,45.14,7.44632098471959,606.2054011992052
Western_Ghats,1983,114.5,8.08319436421132,1416.5191982386757
Western_Ghats,1984,102.49,8.72364467527372,1174.8529865102992
Western_Ghats,1985,648.5,9.35120495613869,6934.935155862303
Western_Ghats,1986,312.27000000000004,9.98609570765228,3127.0479388727426
Western_Ghats,1987,1.1,10.9175880607911,10.075485481545938
Western_Ghats,1988,329.83,11.8163801753813,2791.2947544391004
Western_Ghats,1989,976.36,12.8133055864533,7619.891630714278
Western_Ghats,1990,73.92,14.1802679594129,521.2877514837913
Western_Ghats,1991,464.59,16.1303127348422,2880.229339859386
Western_Ghats,1992,1356.99,17.5764198477346,7720.51425577946
Western_Ghats,1993,277.79,19.3097682064243,1438.598314751288
Western_Ghats,1994,587.83,21.2368917187623,2767.966272016474
Western_Ghats,1995,28.28,23.1615279764214,122.0990257153554
Western_Ghats,1996,572.83,24.9160179568326,2299.043133587547
Western_Ghats,1997,1316.81,26.5296468670007,4963.541379202954
Western_Ghats,1998,33.86,28.6547160249704,118.16554025694616
Western_Ghats,1999,25.630000000000003,29.5339560481166,86.78146591077643
Western_Ghats,2000,48.45,30.6104599330265,158.2792290805337
Western_Ghats,2001,97.5,31.594774786071,308.5953315387589
Western_Ghats,2002,61.58,32.768736707346,187.9230211099202
Western_Ghats,2003,114.49,34.0361652784497,336.37749453664316
Western_Ghats,2004,0.0,35.9848763872227,0.0
Western_Ghats,2005,1896.53,38.0079113271814,4989.829574359416
Western_Ghats,2006,3272.62,41.2009324749758,7943.072652512635
Western_Ghats,2007,5475.5,44.062097550747,12426.780167906856
Western_Ghats,2008,656.76,48.113153416174,1365.032123999629
Western_Ghats,2009,18582.0,51.5004952392024,36081.20643052633
Western_Ghats,2010,1837.98,56.9214532589359,3228.9758865414456
Western_Ghats,2011,142.22,61.8927332933406,229.78464907333844
Western_Ghats,2012,159.57,66.8035425735272,238.86457791421702
Western_Ghats,2013,2388.61,70.9363464075585,3367.2582829068365
Western_Ghats,2014,957.09,73.2997730356476,1305.7202776528954
Western_Ghats,2015,870.5,74.9707059453487,1161.1201855756399
Western_Ghats,2016,2055.49,77.3982386243201,2655.7322705714946
Western_Ghats,2017,0.0,80.4703743512893,0.0
Western_Ghats,2018,7941.54,83.5960370388638,9499.900092522303
Western_Ghats,2019,0.0,85.6069540558026,0.0
Western_Ghats,2020,0.0,89.7288072623215,0.0
Central_India,2001,1674.37,31.594774786071,5299.515541215915
Central_India,2002,3.11,32.768736707346,9.490753420783562
Central_India,2003,1613.3200000000002,34.0361652784497,4740.016940220607
Central_India,2004,84.52000000000001,35.9848763872227,234.87644945755844
Central_India,2005,684.18,38.0079113271814,1800.0989165397993
Central_India,2006,2160.98,41.2009324749758,5244.978378371688
Central_India,2007,1297.44,44.062097550747,2944.571575390206
Central_India,2008,3215.58,48.113153416174,6683.36987223754
Central_India,2009,483.02,51.5004952392024,937.8938935568198
Central_India,2010,327.63,56.9214532589359,575.5826340371352
Central_India,2011,2945.44,61.8927332933406,4758.943163876909
Central_India,2012,288.71,66.8035425735272,432.1776793232662
Central_India,2013,39.55,70.9363464075585,55.75421064508872
Central_India,2014,464.06,73.2997730356476,633.0988225220226
Central_India,2015,69.01,74.9707059453487,92.04928662443987
Central_India,2016,239.16000000000005,77.3982386243201,308.99927989427283
