region,year,location,scale,shape,n
Central_India,1860,113.03420236902548,9.232973289144375,-0.26552221936991827,150
Central_India,1861,113.42061480829285,9.424494537339694,-0.2400259389474106,150
Central_India,1862,113.94006588625325,9.398550019645363,-0.22626758478462086,150
Central_India,1863,114.32528310042645,9.396660421389399,-0.2258023071418816,150
Central_India,1864,114.79863234225968,9.407912183743665,-0.14693616875045323,150
Central_India,1865,115.22493950248,9.447396475190743,-0.11663235688875509,150
Central_India,1866,114.96336254009165,9.06745838047755,-0.09646853314588197,150
Central_India,1867,114.9590053601529,8.869564981592642,-0.09274677427197335,150
Central_India,1868,114.50913005358748,9.299830074989185,-0.10227592932872655,150
Central_India,1869,114.3287404965794,9.849023693664794,-0.1469237800859604,150
Central_India,1870,114.13478764235916,9.62860702184544,-0.10176469234841613,150
Central_India,1871,114.64347434145333,10.06959304610781,-0.12324028674820625,150
Central_India,1872,114.8863009718068,10.22746227926424,-0.12112342649351923,150
Central_India,1873,115.15709523074588,9.880401503924988,-0.11938430800807745,150
Central_India,1874,115.10851114696483,8.826140625472005,-0.07084749886257777,150
Central_India,1875,114.937626421499,8.856734829815531,-0.09433024075272858,150
Central_India,1876,113.962448521005,8.735773006172755,-0.09535112317876307,150
Central_India,1877,114.40388128593409,8.882766181749858,-0.11112813575533552,150
Central_India,1878,114.47079460964252,9.782347412744954,-0.14823682289241302,150
Central_India,1879,114.45108834881285,9.833484384554062,-0.15374697991002162,150
Central_India,1880,114.66490517907394,10.118511262015794,-0.24539472630646228,150
Central_India,1881,115.24206606274898,10.040800521783826,-0.2666446952232059,150
Central_India,1882,113.03800492511297,10.060069847293667,-0.2513088695396688,150
Central_India,1883,112.17994031124229,9.031487513873737,-0.19838108571420826,150
Central_India,1884,112.39233392879402,9.2336219831299,-0.2162157041043199,150
Central_India,1885,112.78835491698182,8.818682215879328,-0.24017240752593683,150
Central_India,1886,112.55149017719937,8.780550149227484,-0.2415526780169092,150
Central_India,1887,113.74462015025547,8.511657333833266,-0.09094584863822139,150
Central_India,1888,114.8170498869838,8.748629098814373,-0.10405849611855306,150
Central_India,1889,114.72994967752642,8.937224402448194,-0.10433776696527855,150
Central_India,1890,114.99276899234451,9.545500783259012,-0.12925506088487176,150
Central_India,1891,115.65620593535706,10.087567756138565,-0.13704773284259897,150
Central_India,1892,115.9985975486197,10.161653012589847,-0.2586423912037362,150
Central_India,1893,115.56059095005982,10.217220412044234,-0.24381644784907505,150
Central_India,1894,115.38928963927788,9.906454308645783,-0.23352481368908076,150
Central_India,1895,115.04577210805323,9.541723385314938,-0.18949227243404426,150
Central_India,1896,114.6365471159194,8.896431604549722,-0.07907119554966746,150
Central_India,1897,114.97897116540305,8.836029053128115,-0.06473251608208327,150
Central_India,1898,114.59917624537428,8.542715714460076,-0.056806736299139016,150
Central_India,1899,114.58757138155607,8.80899397418321,-0.06681198239616637,150
Central_India,1900,114.65820671543977,9.160847802687037,-0.09011335266324763,150
Central_India,1901,114.70582646868765,10.015484492588076,-0.28463614385864844,150
Central_India,1902,113.62077843161254,9.404890521118574,-0.17840062144933888,150
Central_India,1903,114.2731749742869,9.27156142425069,-0.18737339445209225,150
Central_India,1904,114.84284633758902,9.050247286074292,-0.18325692741890612,150
Central_India,1905,114.85925270798981,8.953364641509758,-0.18061943155808713,150
Central_India,1906,115.26138386830806,8.350315217345823,-0.1609522665290153,150
Central_India,1907,115.68235498086082,9.42596171069892,-0.2698815398439808,150
Central_India,1908,115.19380384750906,10.084833259011448,-0.2657592733107917,150
Central_India,1909,114.82161620023085,10.240272328237005,-0.2515913742013944,150
Central_India,1910,113.85728791319633,10.073933627399304,-0.22897809525914647,150
Central_India,1911,113.7235491400807,9.485733775054838,-0.2093369536531717,150
Central_India,1912,113.38570125363441,8.342161476350503,-0.15837195572147955,150
Central_India,1913,113.13321747282131,8.496783405385287,-0.20793717578540805,150
Central_India,1914,113.86694534913222,8.448822807423635,-0.3222208104341165,150
Central_India,1915,114.5506407897345,8.09830979739187,-0.3090625163232006,150
Central_India,1916,114.89474176777958,8.556838215760369,-0.2723174627984999,150
Central_India,1917,115.27747115600944,9.410638061669726,-0.2936803437784902,150
Central_India,1918,115.76645464076759,9.206417964152813,-0.24774929793179096,150
Central_India,1919,115.02248637424513,10.044311006372512,-0.2680605468061999,150
Central_India,1920,115.30511008010447,10.406526454495573,-0.27746821747340666,150
Central_India,1921,115.17526884274311,10.288092759342623,-0.26231774051766077,150
Central_India,1922,114.51738259995071,9.966463891909887,-0.2450554012994548,150
Central_India,1923,114.57422316353166,9.984286928559241,-0.2476261126179525,150
Central_India,1924,114.04912696366078,8.878207641574232,-0.14767809536010357,150
Central_India,1925,114.34687293023119,8.706722051030614,-0.17545115769643954,150
Central_India,1926,114.88239760749224,9.127127635619946,-0.21461947229970263,150
Central_India,1927,114.89542072511179,9.186151996760326,-0.2141875883328563,150
Central_India,1928,114.9485884920563,9.523727795464023,-0.26544629389274793,150
Central_India,1929,114.9488431428712,9.588517467331448,-0.29783841165387326,150
Central_India,1930,114.90545455224381,10.512831755535,-0.24143204922080413,150
Central_India,1931,114.21170796970725,10.41164993380217,-0.19478739245720733,150
Central_India,1932,114.4031568008981,10.171923215625174,-0.1425643158711436,150
Central_India,1933,114.56992316794167,9.449331862980053,-0.09258853738763614,150
Central_India,1934,115.3168165950025,9.845499292696818,-0.14917205619346394,150
Central_India,1935,114.9769250486121,10.64356419098221,-0.23414716669538788,150
Central_India,1936,115.38291401465725,10.616716361448479,-0.23979415961488093,150
Central_India,1937,115.27218534165536,10.225030166419547,-0.2584094928369788,150
Central_India,1938,115.51963085317385,10.41964339092037,-0.24009581551808185,150
Central_India,1939,115.90927917853153,10.431272480272625,-0.242104205624809,150
Central_India,1940,115.90111375577902,9.241369912612615,-0.15993316347202413,150
Central_India,1941,115.60167529467702,8.59310526301368,-0.14768515437106805,150
Central_India,1942,115.75758504817426,8.615209516753287,-0.15151106734898215,150
Central_India,1943,115.51745620292616,9.061293860172523,-0.20646904776325625,150
Central_India,1944,115.10648778347499,8.945453998179499,-0.2002207700093136,150
Central_India,1945,115.54394572779529,8.526092646077043,-0.17214684932432245,150
Central_India,1946,115.1246620625993,9.141872643271896,-0.18488418146073354,150
Central_India,1947,115.19468094594859,9.677266596673556,-0.19017370772726247,150
Central_India,1948,114.7531373274211,9.070598469001691,-0.15924325151011393,150
Central_India,1949,114.39200897016454,9.194310337319855,-0.12951589761280624,150
Central_India,1950,113.96210974662745,9.065116090960554,-0.146170008493654,150
Central_India,1951,114.02596794915002,9.199763043107243,-0.12382839896491057,150
Central_India,1952,114.527436019979,9.433056373130734,-0.1590397350584985,150
Central_India,1953,114.78220980075166,9.85658833625957,-0.1684722564855492,150
Central_India,1954,115.45506538643299,9.706031849585731,-0.20392749194683657,150
