region,year,PR_gev
Central_India,1860,2.158008372791312
Central_India,1861,0.5920640109145942
Central_India,1862,0.47927856217927367
Central_India,1863,1.9129557682013936
Central_India,1864,1.108366661870208
Central_India,1865,1.3339102465836752
Central_India,1866,39.67219046194596
Central_India,1867,1.5940674192563293
Central_India,1868,0.9724731342298795
Central_India,1869,4.50675716072368
Central_India,1870,0.9704133754128602
Central_India,1871,1.1685734897564692
Central_India,1872,1.0130533123383874
Central_India,1873,1.3783143514403424
Central_India,1874,2.7016058807575725
Central_India,1875,
Central_India,1876,0.26411943496307866
Central_India,1877,0.9998096164122644
Central_India,1878,0.37596879931971966
Central_India,1879,3.289676183635952
Central_India,1880,1.5887359216592563
Central_India,1881,0.6281400777437965
Central_India,1882,1.0326822125113624
Central_India,1883,
Central_India,1884,0.3943700730659748
Central_India,1885,0.23453696351961256
Central_India,1886,1.9086726206785456
Central_India,1887,1.4233313154173826
Central_India,1888,0.09149054854334382
Central_India,1889,1.6076809619661199
Central_India,1890,1.198833988448095
Central_India,1891,1.2380645935814905
Central_India,1892,1.0068471974602433
Central_India,1893,2.024680175117211
Central_India,1894,
Central_India,1895,0.8303644161675277
Central_India,1896,0.7365658528287183
Central_India,1897,3.460249472618337
Central_India,1898,1.8323615433198315
Central_India,1899,2.4479539044638643
Central_India,1900,3.194554934586893
Central_India,1901,0.9185225032044654
Central_India,1902,0.6459134119935689
Central_India,1903,1.654986839494203
Central_India,1904,1.3678284604906676
Central_India,1905,0.35426628235145863
Central_India,1906,0.6301202583466182
Central_India,1907,1.1058665207858955
Central_India,1908,2.026935307445754
Central_India,1909,2.535209134350535
Central_India,1910,1.6668573910368427
Central_India,1911,1.2518245338919032
Central_India,1912,0.3052549435768111
Central_India,1913,0.01902337168831982
Central_India,1914,0.2834136696324044
Central_India,1915,0.14808341992767038
Central_India,1916,0.6051220793137796
Central_India,1917,0.46371186486039445
Central_India,1918,0.7294682388091405
Central_India,1919,5.770764408580804
Central_India,1920,0.9586126188952379
Central_India,1921,1.384793993111999
Central_India,1922,
Central_India,1923,0.7179767093639488
Central_India,1924,0.6506610931143928
Central_India,1925,1.9814274833787424
Central_India,1926,1.2878705693486496
Central_India,1927,0.2595643788363944
Central_India,1928,1.3413316730777933
Central_India,1929,1.5125656656255966
Central_India,1930,0.8168752363176945
Central_India,1931,
Central_India,1932,8.071760791005461
Central_India,1933,36.94422358222645
Central_India,1934,1.5784330955400054
Central_India,1935,1.8377496632784525
Central_India,1936,0.5185663445882553
Central_India,1937,5.008088633635151
Central_India,1938,1.2819201155878532
Central_India,1939,2.853553738873887
Central_India,1940,1.1446603624530896
Central_India,1941,1.290839451126048
Central_India,1942,1.9454409089073676
Central_India,1943,5.5648365857303444e-05
Central_India,1944,1.5613049058771853
Central_India,1945,1.2067197579483993
Central_India,1946,0.4574972494595207
Central_India,1947,2.208078357796329
Central_India,1948,0.5566863238376543
Central_India,1949,0.8046756207947998
Central_India,1950,0.19053437182445673
Central_India,1951,0.9604257887022116
Central_India,1952,0.6620063013295115
Central_India,1953,1.4377280165897979
Central_India,1954,6.630883132253187
Central_India,1955,1.8051493855687009
Central_India,1956,0.4658287307206938
Central_India,1957,3.2017591177626783
Central_India,1958,0.9050557660787333
Central_India,1959,1.9203213653372306
Central_India,1960,2.3546389329468242
Central_India,1961,2.3100967970800617
Central_India,1962,0.4156375480034051
Central_India,1963,1.3092515300529497
Central_India,1964,0.8706305812059891
Central_India,1965,0.0
Central_India,1966,8.651804530379996
Central_India,1967,1.4334076905010962
Central_India,1968,1.6259968857526628
Central_India,1969,2.048246950623948
Central_India,1970,0.9477895910109615
Central_India,1971,1904.5589229370319
Central_India,1972,1.6803152351487298
Central_India,1973,1.6932189932123725
Central_India,1974,1.5778879939208275
Central_India,1975,0.35910395411710744
Central_India,1976,0.6860183582379388
Central_India,1977,0.6717156293083739
Central_India,1978,0.9971788009899891
Central_India,1979,4.205261815150714
Central_India,1980,0.8571177325294568
Central_India,1981,0.8595944016117296
Central_India,1982,0.692829217493124
Central_India,1983,1.443618994838797
Central_India,1984,1.2556842590979689
Central_India,1985,1.3349238619147408
Central_India,1986,0.10253689024878869
Central_India,1987,0.7622191308572396
Central_India,1988,0.19422693162549423
Central_India,1989,0.8734482866770676
Central_India,1990,0.2610722308787105
Central_India,1991,1.14954955099822
Central_India,1992,0.9934883167734918
Central_India,1993,0.8027171516994942
Central_India,1994,0.22366488807984752
Central_India,1995,0.5363872383557986
Central_India,1996,1.8048274645699027
Central_India,1997,0.7200686095207085
Central_India,1998,2.832018067198409
Central_India,1999,1.1072718879364742
Central_India,2000,1.6085830454132342
Central_India,2001,4.30558763119443
Central_India,2002,2.298749526906615
Central_India,2003,0.9218067038044292
Central_India,2004,5.839447281996245
Central_India,2005,1.5052310929968533
Central_India,2006,2.0806246119302085
Central_India,2007,0.45676087117597386
Central_India,2008,1.6266133839495096
Central_India,2009,0.5030239773609467
Central_India,2010,0.3441908967289384
Central_India,2011,8.265582063208802
Central_India,2012,1.682276240837697
Central_India,2013,0.5310090001331338
Central_India,2014,0.4032121596143614
Indo_Gangetic_Plain,1860,1.1173134193311156
Indo_Gangetic_Plain,1861,0.5615644388409009
Indo_Gangetic_Plain,1862,4.413617891381217
Indo_Gangetic_Plain,1863,1.0665923280532885
Indo_Gangetic_Plain,1864,1.1542297106515809
Indo_Gangetic_Plain,1865,0.18476005589039368
Indo_Gangetic_Plain,1866,1.594957394481319
Indo_Gangetic_Plain,1867,2.77403170273705
Indo_Gangetic_Plain,1868,1.8658013100565438
Indo_Gangetic_Plain,1869,1.4205911593035982
Indo_Gangetic_Plain,1870,3.310241158961385
Indo_Gangetic_Plain,1871,0.3730849909186231
Indo_Gangetic_Plain,1872,0.32938264075404633
Indo_Gangetic_Plain,1873,0.8444708327709428
Indo_Gangetic_Plain,1874,1.1140044326375769
Indo_Gangetic_Plain,1875,4.110882837937944
Indo_Gangetic_Plain,1876,0.7191454494799728
Indo_Gangetic_Plain,1877,0.7130659422167633
Indo_Gangetic_Plain,1878,0.766726146396545
Indo_Gangetic_Plain,1879,0.9084164945301275
Indo_Gangetic_Plain,1880,0.7492463429541275
Indo_Gangetic_Plain,1881,1.3402463249598466
Indo_Gangetic_Plain,1882,4.574446228440012
Indo_Gangetic_Plain,1883,0.6662409578692394
Indo_Gangetic_Plain,1884,0.3474229403606043
Indo_Gangetic_Plain,1885,5.35869010409719
Indo_Gangetic_Plain,1886,1.1547013790205711
Indo_Gangetic_Plain,1887,1.0908956259111207
Indo_Gangetic_Plain,1888,0.14419468551160558
Indo_Gangetic_Plain,1889,1.5595691387298474
Indo_Gangetic_Plain,1890,1.0264686776120215
Indo_Gangetic_Plain,1891,5.788824522683659
Indo_Gangetic_Plain,1892,0.8067516784592214
Indo_Gangetic_Plain,1893,0.6440807540838598
