region,year,location,scale,shape,n
Central_India,1860,114.83410638493999,8.343450696930095,-0.18177746195811512,150
Central_India,1861,114.52369535457927,8.188515184372104,-0.15991993827858414,150
Central_India,1862,114.69909819501456,8.2313629428626,-0.15867381362011385,150
Central_India,1863,114.62695836067505,8.412209679825779,-0.15321204620320694,150
Central_India,1864,114.26427767465145,7.989796656258411,-0.14360761962189528,150
Central_India,1865,114.26030751144668,7.793041111762113,-0.13373465712596358,150
Central_India,1866,113.83341437744411,8.243190524806286,-0.1309636922110119,150
Central_India,1867,113.35894700730775,8.140573478022738,-0.14522083850523332,150
Central_India,1868,113.59599000327734,8.099332034141197,-0.12062792675948275,150
Central_India,1869,114.46096647115019,8.495532907004598,-0.11767404178220137,150
Central_India,1870,115.39990261281064,8.678845876925585,-0.16151280653149092,150
Central_India,1871,116.23901750327505,8.332258350390479,-0.15806132669017164,150
Central_India,1872,116.28626760868795,8.309553502092767,-0.14972563670510217,150
Central_India,1873,116.37587924860725,8.35572506136711,-0.19045992973966816,150
Central_India,1874,116.81349962140081,9.458535400280677,-0.22108960230020375,150
Central_India,1875,115.80390105515178,9.945923889535758,-0.21543714243587286,150
Central_India,1876,116.34899046505734,10.164512871878168,-0.2486661185831492,150
Central_India,1877,116.4544114254839,10.309132450700666,-0.26137446612298365,150
Central_India,1878,116.05006081261729,10.672973444031197,-0.25501193641892933,150
Central_India,1879,115.03136703061463,9.918605442451678,-0.24325392692033768,150
Central_India,1880,114.82992067021502,9.641832219328904,-0.21550751687550884,150
Central_India,1881,113.91279051348698,9.050332026993262,-0.18893782035182563,150
Central_India,1882,113.0302882814131,8.985754757798802,-0.14948565836487301,150
Central_India,1883,112.53728365478688,9.343204790885771,-0.11433113033225366,150
Central_India,1884,112.65283567213774,9.176166995073537,-0.12489917688574742,150
Central_India,1885,113.02299953433763,8.545082819427618,-0.11546736968334553,150
Central_India,1886,113.02075341167856,8.71460616846015,-0.09029304626617349,150
Central_India,1887,113.97069975411529,8.850508678555842,-0.10482148069551611,150
Central_India,1888,114.17298606887456,8.28758185310619,-0.10564157162419507,150
Central_India,1889,114.38870380170172,8.081303549105039,-0.07891883857776155,150
Central_India,1890,114.87189719979357,8.389288730361393,-0.09723237842426109,150
Central_India,1891,115.0861749247972,8.739499904954783,-0.16169896183411123,150
Central_India,1892,114.96232172150897,8.271361322876677,-0.1601234355395078,150
Central_India,1893,115.21655738710491,8.469721989144835,-0.167970511555266,150
Central_India,1894,114.3105592026514,8.734234237776832,-0.15235107532245826,150
Central_India,1895,113.56938867406234,8.542011321044187,-0.14244209464100227,150
Central_India,1896,113.35833586558714,8.310386689164584,-0.11183645217045404,150
Central_India,1897,113.46064912756718,8.498919645006284,-0.10520107216119104,150
Central_India,1898,114.0264914632616,8.845949818687252,-0.1803170684826441,150
Central_India,1899,114.63155206298853,8.957679904209236,-0.21205909747992058,150
Central_India,1900,114.79160937992452,9.36743560000318,-0.14675156873591622,150
Central_India,1901,113.67347613416649,9.569486014296466,-0.12569333814193057,150
Central_India,1902,113.01270061024124,9.588700482706347,-0.10744404874721497,150
Central_India,1903,112.68006182786533,8.890826890165311,-0.031521062274413036,150
Central_India,1904,112.7341567633722,9.144629295002513,-0.021547912531710733,150
Central_India,1905,112.2572385711639,9.569333328150723,-0.09576434836700728,150
Central_India,1906,113.75870267636625,9.643689192744919,-0.17734213139604615,150
Central_India,1907,114.16016423222078,9.622816197574647,-0.20382056320969483,150
Central_India,1908,113.89835916807039,9.647533134482615,-0.22306770035295875,150
Central_India,1909,113.36262340395666,9.10177672607443,-0.1808554264591119,150
Central_India,1910,113.60740754195967,8.698706870028516,-0.1486997306322126,150
Central_India,1911,113.11519694684952,9.437693878828856,-0.18107003195942217,150
Central_India,1912,112.43039123407887,9.904790736893919,-0.1308551829344069,150
Central_India,1913,113.1322703799369,10.149209935864029,-0.13312440765399475,150
Central_India,1914,113.84143515313369,10.14816535621414,-0.1549729086067843,150
Central_India,1915,114.2456732667572,9.989367080159054,-0.16175773992656997,150
Central_India,1916,114.74386752347877,9.98651528911955,-0.15325319729443793,150
Central_India,1917,115.65397596042163,9.27869007205283,-0.21902899409929424,150
Central_India,1918,115.00601230842828,9.435753012124529,-0.2197053608841409,150
Central_India,1919,114.1340446093582,9.559044606561184,-0.20633258270009008,150
Central_India,1920,113.163826814988,9.355056087777484,-0.19476316460871335,150
Central_India,1921,113.69580214357981,9.332013141538766,-0.21729577698607208,150
Central_India,1922,114.28973263945872,9.48982787648695,-0.22294201694198798,150
Central_India,1923,115.11873993479784,9.108894286971738,-0.2724224245035019,150
Central_India,1924,115.87064633790911,8.725643973815455,-0.32020507535800125,150
Central_India,1925,117.36484593439987,9.204650620132249,-0.2938479401155213,150
Central_India,1926,116.7964881066375,9.011607578022694,-0.2547862694531904,150
Central_India,1927,115.99202670378173,9.011069097489441,-0.24274272082709494,150
Central_India,1928,115.34606975996115,9.20653058882732,-0.19513018447079572,150
Central_India,1929,114.28804373891211,10.242118213064703,-0.24145873372962318,150
Central_India,1930,113.32782021284783,9.457788698743371,-0.21929043567207293,150
Central_India,1931,113.3707593968891,8.786827107282495,-0.21990674989206577,150
Central_India,1932,113.5348711273701,8.839605139414227,-0.2049739006821306,150
Central_India,1933,113.6647891638687,8.238891015837282,-0.23683514628195415,150
Central_India,1934,114.25617096100675,8.050642559071324,-0.2158306559098045,150
Central_India,1935,113.69681847106921,9.271234933318423,-0.2728733602537483,150
Central_India,1936,113.63305770891368,9.941699792288897,-0.23914070505711305,150
Central_India,1937,113.36457177418768,10.212830730597995,-0.2559385169015539,150
Central_India,1938,113.89416120056512,10.779368489435427,-0.27403070633935084,150
Central_India,1939,114.4383951657023,10.395380021721326,-0.2673044334747533,150
Central_India,1940,115.16552472996014,9.460780961848778,-0.23324060585531378,150
Central_India,1941,115.27468857194012,9.345254289041026,-0.17086764889338418,150
Central_India,1942,115.67010375967598,8.590993272683425,-0.14174305879403676,150
Central_India,1943,115.2243264933562,8.460954078471108,-0.12853042628440461,150
Central_India,1944,115.22088090847205,8.70226560444505,-0.1285275658315732,150
Central_India,1945,115.18934599232756,8.045495566114026,-0.07610190991020147,150
Central_India,1946,115.01141095662388,8.424904111113042,-0.13905333866170316,150
Central_India,1947,114.9417742028971,8.93446608784019,-0.08435319247240183,150
Central_India,1948,115.46799695353792,9.275085005669343,-0.10717542036018396,150
Central_India,1949,114.84179121471998,9.197010735490695,-0.08066994480749834,150
Central_India,1950,115.22852743078177,9.62138868125719,-0.09442050596185941,150
Central_India,1951,115.3043571798775,9.276540725505095,-0.08714229220314043,150
Central_India,1952,114.54830331634008,9.346694758738481,-0.15463961645835664,150
Central_India,1953,113.72315084583545,9.488294790906203,-0.16666663435139528,150
Central_India,1954,114.77740753783335,9.65113024205647,-0.2510407089807195,150
Central_India,1955,114.28081701639132,9.137195882447129,-0.24680686099288907,150
Central_India,1956,114.43192845013512,9.038252120298864,-0.24148050941621757,150
Central_India,1957,115.30078308480562,8.911541675576741,-0.2482403225974968,150
Central_India,1958,115.74190200450016,8.295286776978912,-0.2102768837201851,150
