region,year,rx5day_mm,damage_cr
Central_India,2000,178.28935735169196,0.1633428576682494
Central_India,2001,213.55105919632283,5299.515541215915
Central_India,2002,167.1756933043802,9.490753420783562
Central_India,2003,185.84586133202527,4740.016940220607
Central_India,2004,172.18079119856662,234.87644945755844
Central_India,2005,218.88293763168735,1800.0989165397991
Central_India,2006,202.07110536648668,5244.978378371688
Central_India,2007,209.07549071845258,2944.571575390205
Central_India,2008,197.68806392296395,6683.36987223754
Central_India,2009,187.82174799293952,937.8938935568198
Central_India,2010,141.11937289540663,575.5826340371351
Central_India,2011,227.59596147725958,4758.943163876908
Central_India,2012,204.78096452413362,432.1776793232662
Central_India,2013,183.2571211307755,55.75421064508872
Central_India,2014,206.86561156601852,633.0988225220226
Central_India,2015,183.57164935174978,92.04928662443989
Central_India,2016,222.93361628814532,308.99927989427283
Central_India,2017,165.63950114698883,416.289849153203
Central_India,2018,172.3167410540621,410.7850230272917
Central_India,2019,205.91192618440198,546.7663289303462
Central_India,2020,181.6114172258662,1718.0212765932138
Indo_Gangetic_Plain,2000,156.44587343442257,19451.03083399281
Indo_Gangetic_Plain,2001,147.15390214160874,12733.118141337713
Indo_Gangetic_Plain,2002,161.0354317028364,5051.6137218952
Indo_Gangetic_Plain,2003,161.7997369486487,5325.159239215434
Indo_Gangetic_Plain,2004,155.0861976608995,6672.275247421821
Indo_Gangetic_Plain,2005,168.58000563187258,2736.746018600907
Indo_Gangetic_Plain,2006,156.1655676078128,409.4082096380977
Indo_Gangetic_Plain,2007,172.37430176784432,5451.306527642325
Indo_Gangetic_Plain,2008,185.90531445399864,2755.2964332501188
Indo_Gangetic_Plain,2009,161.36835498821765,291.93894020178845
Indo_Gangetic_Plain,2010,149.23454185910765,715.0379631885189
Indo_Gangetic_Plain,2011,172.31203129784274,4033.7045516595736
Indo_Gangetic_Plain,2012,157.8467580345784,1211.2531294420496
Indo_Gangetic_Plain,2013,151.24106386964152,1845.6405866717955
Indo_Gangetic_Plain,2014,145.803339471459,503.05749217077664
Indo_Gangetic_Plain,2015,152.81194319960238,34703.861557561046
Indo_Gangetic_Plain,2016,152.74531293119662,1520.2542343518817
Indo_Gangetic_Plain,2017,170.63194558896043,22458.74975193332
Indo_Gangetic_Plain,2018,167.1476330384927,981.553706449662
Indo_Gangetic_Plain,2019,191.4989100471452,2429.7792427518443
Indo_Gangetic_Plain,2020,140.80826347982207,1574.9122752391734
Northeast,2000,254.99038283014355,834.0939683971488
Northeast,2001,226.19758663922408,135.37048543500222
Northeast,2002,302.7731968915724,2376.472449807393
Northeast,2003,284.679023537246,18736.393914615724
Northeast,2004,328.714915113903,2179.8046255857644
Northeast,2005,202.50565627663147,1444.4624311869904
Northeast,2006,220.58474276324816,673.5041741313477
Northeast,2007,328.9056790271744,767.1219002016613
Northeast,2008,221.53044308718518,1137.6306916852382
Northeast,2009,244.22017479390632,1445.55891461274
Northeast,2010,254.40524366131427,2129.267491619657
Northeast,2011,222.17262501746123,1957.095664621958
Northeast,2012,313.9995554514033,6013.633177579384
Northeast,2013,201.40483427213945,1259.6927319402878
Northeast,2014,311.44858451702686,5451.626702932116
Northeast,2015,295.42365153737984,2770.268698702114
Northeast,2016,217.08504818679341,219.3589970749692
Northeast,2017,285.36090399671633,7297.654630465768
Northeast,2018,225.0200825580163,6389.130620530423
Northeast,2019,290.41815507884314,4162.383814844389
Northeast,2020,257.9888809213871,4421.913230608729
Western_Ghats,2000,184.6865065625354,158.2792290805337
Western_Ghats,2001,139.60538885005352,308.5953315387589
Western_Ghats,2002,190.5358821625746,187.92302110992023
Western_Ghats,2003,141.21378901466693,336.3774945366432
Western_Ghats,2004,161.18875367275274,0.0
Western_Ghats,2005,172.88790869794875,4989.829574359416
Western_Ghats,2006,201.34115279218818,7943.072652512635
Western_Ghats,2007,199.38169311297617,12426.780167906856
Western_Ghats,2008,171.17598400009334,1365.0321239996292
Western_Ghats,2009,197.75834484134847,36081.20643052632
Western_Ghats,2010,181.69857834329093,3228.9758865414456
Western_Ghats,2011,152.62411728314157,229.78464907333844
Western_Ghats,2012,133.38251060332144,238.86457791421705
Western_Ghats,2013,192.0501221650404,3367.258282906836
Western_Ghats,2014,174.6001667206546,1305.7202776528952
Western_Ghats,2015,154.47268484972201,1161.12018557564
Western_Ghats,2016,188.54075416015857,2655.732270571495
Western_Ghats,2017,150.58899777652647,0.0
Western_Ghats,2018,171.84954349572772,9499.900092522304
Western_Ghats,2019,197.44133565067742,0.0
Western_Ghats,2020,169.1961057520192,0.0
