region,method,PR_present,delta,delta_ci_5,delta_ci_95,pct_capped_ant,pct_capped_nat,delta_rank,PR_rank
Central_India,f(R) propagation,1.175536861135831,1.0511486055338348,1.0213442088111924,1.081440727190439,2.6666666666666665,1.5,3,4
Indo_Gangetic_Plain,"FAR x AAL fallback (Delta=PR, PR-first)",1.2372833457064991,1.2372833457064991,1.1456366433687304,1.3744503026575925,,,2,3
Northeast,f(R) propagation,1.3795001138297192,1.0066352640789324,0.984720084601203,1.0309046783517384,6.833333333333333,4.166666666666667,4,1
Western_Ghats,f(R) propagation,1.3282233021971663,1.2413188305279321,1.147327202520568,1.341148614416523,10.5,10.333333333333334,1,2
