region,year,location,scale,shape,ks_stat,ks_p
Central_India,1860,114.01897475598983,8.286992207368364,-0.20199782984166376,0.1282271630725557,0.6604836006191691
Central_India,1861,111.95521995625431,9.195834682984225,-0.21482103520320484,0.13225565905733427,0.6230538069410094
Central_India,1862,113.4155002543384,9.82645253047846,-0.3361570017201443,0.13310765820149273,0.6151584572517383
Central_India,1863,114.87753374181183,9.653571655122526,-0.16230048346343046,0.09431632815649676,0.9294670721725548
Central_India,1864,115.45646316666283,8.866786038871535,-0.17840817966920494,0.07580471816827161,0.9900678257225164
Central_India,1865,115.96779185373461,8.01192024895119,-0.177963651189226,0.12954397056007805,0.6482418451367837
Central_India,1866,115.38417990898569,9.752560602822061,-0.07533087694924745,0.11771813077795701,0.7567013276529245
Central_India,1867,115.13145018697892,10.867830694508491,-0.12378711709965504,0.09650793954826942,0.9173909096100898
Central_India,1868,112.73985003179948,6.3141851905059,0.20502740127799013,0.10708093384677153,0.8457585256099174
Central_India,1869,115.39381063136587,7.715163565993851,-0.1502049237716348,0.10256743702970508,0.8788674571626677
Central_India,1870,113.99437804202546,10.196181052505299,-0.2559315929243451,0.08438831371769595,0.9709292811982355
Central_India,1871,114.27631126658423,11.871003775377226,-0.22120923402519238,0.0881788635725268,0.9576823256910207
Central_India,1872,113.78526897757428,8.750423942946345,0.17669384700423757,0.10660489088492853,0.8494081584828974
Central_India,1873,116.02805684074778,9.888331036689113,-0.147960099507184,0.10389607777704879,0.8694812265019223
Central_India,1874,116.35602419343793,8.260160020120278,-0.07454210297317937,0.10803133839927387,0.8383696998881988
Central_India,1875,116.01366676310678,8.56839609765234,-0.42857976256341335,0.10379890906711653,0.8701782980892152
Central_India,1876,114.43382243198234,8.00141565995559,-0.11007703153226162,0.10965974978889759,0.8254081391467779
Central_India,1877,113.0613453850548,9.135257238013502,0.04188907191067802,0.11801517489175828,0.7540546534035332
Central_India,1878,111.26813670653492,8.557549235529768,-0.13474331218358704,0.08308021941900007,0.974779253976072
Central_India,1879,118.732352180931,8.04552716082094,-0.12152119034677861,0.09108760869246435,0.9453542928615775
Central_India,1880,115.9480568898716,12.071850444979237,-0.4193747002404252,0.0942153187757428,0.9299987636315556
Central_India,1881,114.3450473630533,8.245021419503312,-0.15629586428828476,0.07285206831240221,0.9937339401843157
Central_India,1882,112.90918832208388,10.339143137961644,-0.16524101521455684,0.14296509979142447,0.5255530012081329
Central_India,1883,114.35393218851128,8.891047569824234,-0.3401637668548724,0.10088703001026444,0.8902746377935133
Central_India,1884,108.63971130160623,8.85219411155072,-0.22178987880902284,0.09581705820446945,0.9213083931953173
Central_India,1885,111.3772876523754,7.101352045506942,-0.13664887216050253,0.08496248038307824,0.9691243777040999
Central_India,1886,115.63821292647238,9.233885799511318,-0.28001914156211605,0.12264499831963938,0.7121134783052838
Central_India,1887,114.32430267203388,7.5035940647980715,-0.12742379912867272,0.07501307632340481,0.9911751034272264
Central_India,1888,113.53538578445244,8.941194735166498,-0.4382222174729633,0.08408454412842525,0.971855623110823
Central_India,1889,116.89603690581727,8.993507578455889,-0.028688989178983673,0.14226578324480832,0.5317606831990052
Central_India,1890,116.71218300721179,8.692711852950943,-0.23996267233515467,0.0494674164840313,0.999994520226086
Central_India,1891,115.31917710579188,10.342902117359884,-0.2730262060626597,0.12006590186835969,0.735622715756739
Central_India,1892,116.76790571428549,10.504298850543488,-0.45841344790411875,0.08207063430651812,0.9775065928968647
Central_India,1893,115.61018069099168,11.755292682305281,-0.21565384195743348,0.10469246104121802,0.8637066038366874
Central_India,1894,116.9812607216333,9.292412011388514,-0.36539694982453486,0.10198642224777457,0.8828714597041429
Central_India,1895,114.42929774829072,8.915595901661696,-0.14151182316886013,0.08755859888577694,0.9600667562699184
Central_India,1896,114.81350277091491,8.842121918395492,-0.2907362681144976,0.07265953889632637,0.9939312014763898
Central_India,1897,113.97765143827381,8.111366984277051,-0.011327056729551654,0.0997453090916719,0.8977160786517099
Central_India,1898,114.63977534035936,8.96272663270667,0.06572207999617345,0.10434631836426644,0.8662298807222278
Central_India,1899,119.12053552724365,9.353076120425978,-0.3412748982295035,0.10001901323730542,0.8959554867219799
Central_India,1900,113.4847499928172,7.743886272383975,-0.3149585329607233,0.0896301330143332,0.9517678857167994
Central_India,1901,114.36692647073833,9.669336692613836,-0.2329169774263573,0.06715811877984085,0.9978367413497778
Central_India,1902,116.464794813696,11.396349583331258,-0.5268908258516043,0.11972223509149071,0.7387296901605465
Central_India,1903,111.60875523284695,10.89250699775489,-0.20037138184302666,0.09828006285843,0.9068863188298952
Central_India,1904,114.59414667239878,7.638866730460052,-0.011736914990240266,0.06795024859316501,0.9974516808555325
Central_India,1905,115.84932704899535,4.899225932053994,-0.011112189404414694,0.08817251485663752,0.9577071656122019
Central_India,1906,116.71970639764812,7.35590393158922,-0.056767285323186534,0.10925260429171801,0.8286832485573281
Central_India,1907,115.40572340194103,9.923993694509452,-0.3121834380450903,0.08977780006700042,0.9511396960856318
Central_India,1908,114.00533836437215,9.592669863895885,-0.26853168303312724,0.08012905368147683,0.9821754497394365
Central_India,1909,116.07550234885622,11.939435014488984,-0.35352274256693933,0.1141187467974138,0.7882055269807302
Central_India,1910,113.39291878788141,9.535571102432598,-0.15124623750090435,0.08754663191754108,0.9601119181697088
Central_India,1911,115.00676131258578,8.859383950641732,-0.07263082713699956,0.07690046820263337,0.9883721819350287
Central_India,1912,111.09045222605113,8.722864941088083,-0.24799317936398224,0.06415564174077848,0.9989021934328678
Central_India,1913,114.13181233476685,6.237418434251531,-0.32296231059107683,0.12013145259550673,0.7350293325087438
Central_India,1914,114.43203718186419,7.2332579851763406,-0.21399171081570445,0.07921469533898262,0.9841219084853966
Central_India,1915,112.3482269541401,9.745746568070798,-0.40145761659034845,0.06737423976899692,0.9977365884471782
Central_India,1916,117.94036581462862,8.179759081687275,-0.4206674130551219,0.11139699757548849,0.8111917169811473
Central_India,1917,114.67994871529844,7.682691440401085,-0.25295267250638725,0.12678430206707744,0.6738855604632574
Central_India,1918,116.4236400463125,8.885912795002653,-0.26689160748459684,0.10814193197747476,0.8375012531835875
Central_India,1919,116.98165919624216,11.92893003918175,-0.41880276174478515,0.1608431289739337,0.378930463272367
Central_India,1920,114.29546992514491,9.200432904352299,-0.1314255589673999,0.11039888940576825,0.8194063698594498
Central_India,1921,113.90860284331761,12.005083125980295,-0.3915739005393922,0.17239882523561245,0.299042214039583
Central_India,1922,115.29250019323086,9.130348733303403,-0.15982231201584923,0.10698003908044385,0.8465349543275451
Central_India,1923,115.54060625065578,7.727929350160095,-0.11597599990394158,0.0749877052102711,0.9912090154814494
Central_India,1924,113.72400310917888,10.396401339346758,-0.3625603908462888,0.13996590700523676,0.5523661290973889
Central_India,1925,114.3449387907187,9.011970996992286,-0.09441205378199745,0.09256244553264315,0.9383825027269193
Central_India,1926,112.09072841001236,7.660375562429346,-0.07314084086276788,0.08198438256943819,0.9777299259558562
Central_India,1927,116.83317768700584,7.765882395160437,-0.3067968456532588,0.07881313373356252,0.9849276469123353
Central_India,1928,118.98862813948092,9.754033330466584,-0.43388753465452945,0.08433218196345793,0.9711019375754643
Central_India,1929,113.24150880698154,10.198941725381507,-0.25457623992005973,0.08480261436851882,0.9696340425659975
Central_India,1930,114.59634602419376,10.582102693851422,-0.3319840182494338,0.08880059543359586,0.9552061720518906
Central_India,1931,111.40482352659726,7.3244784103269955,-0.07616133458598244,0.08164870250390813,0.9785847992538557
Central_India,1932,118.71250682259543,13.446807152409825,-0.36180694446601996,0.06720341998749102,0.9978160446593783
Central_India,1933,114.91357926399795,9.58756759508331,-0.09900363574333107,0.08620163056428887,0.964985700505814
Central_India,1934,113.4597279270748,7.805732483354562,0.19336023904805397,0.08622520096511066,0.9649037254986748
Central_India,1935,117.55503076576133,9.132742012669215,-0.5776946605603961,0.1564480028755837,0.41255110736243994
Central_India,1936,114.84507613212911,9.334537948758246,-0.3963548278921496,0.12033082463889089,0.733223099476937
Central_India,1937,114.76948517833227,13.853665298052363,-0.3618281247755568,0.09980356236754329,0.8973426104079814
Central_India,1938,117.4404056486211,9.691922157637796,-0.2032392426969813,0.10838526840317164,0.8355842209410707
Central_India,1939,114.22590209207954,7.521024849460084,-0.16335414187304764,0.0913498905886807,0.9441497834482813
Central_India,1940,116.90519123200727,7.6246300949322245,0.0013769641001685927,0.10005092900187318,0.8957492245692708
Central_India,1941,116.00601412994669,9.153527827254358,-0.24913705619954601,0.07699894359908965,0.9882101840309921
Central_India,1942,115.29638225716917,10.960627596575378,-0.17971979622073414,0.09750450707209457,0.9115635931049287
Central_India,1943,117.10327612918749,6.771763844802656,-0.47615061511609613,0.10252707811762465,0.8791475958628294
