year,scenario,gmt_mean_c,gmt_p10_c,gmt_p90_c
1890,Hist-NAT,13.412963505187124,13.25555281650863,13.580909053777276
1891,Hist-NAT,13.390657168011924,13.216596644362067,13.516066363469765
1892,Hist-NAT,13.420551083405996,13.26449706659169,13.576766352947715
1893,Hist-NAT,13.447360035421005,13.2647126166781,13.5811554731618
1894,Hist-NAT,13.471028018561745,13.324016090885351,13.624824438203655
1895,Hist-NAT,13.489852216271297,13.322922905461741,13.62214105622532
1896,Hist-NAT,13.491709164587608,13.342215132005236,13.682751219038328
1897,Hist-NAT,13.50180467998071,13.381447455471204,13.642687304439601
1898,Hist-NAT,13.498522471835551,13.300142608408994,13.639737504601191
1899,Hist-NAT,13.49917143962786,13.376223875455992,13.65042154548218
1900,Hist-NAT,13.516984379117586,13.377241864407846,13.639884778812029
1901,Hist-NAT,13.527801888808368,13.425660979501595,13.641384412282736
1902,Hist-NAT,13.49677785527629,13.40683208764471,13.615374295538283
1903,Hist-NAT,13.327353226829695,13.18443333193722,13.432210731736575
1904,Hist-NAT,13.376253360947434,13.244556835964483,13.516717070032234
1905,Hist-NAT,13.41702429202075,13.287660124858792,13.551377285285053
1906,Hist-NAT,13.458839617033732,13.34052773063163,13.5455004436073
1907,Hist-NAT,13.441806582570079,13.317975735689657,13.561346626694217
1908,Hist-NAT,13.456472446690727,13.31123922047974,13.61439580795161
1909,Hist-NAT,13.465324583625712,13.317138821131635,13.60850917578394
1910,Hist-NAT,13.458006780150006,13.289143567697295,13.618108963292297
1911,Hist-NAT,13.462905975064675,13.322642057144554,13.63985850316097
1912,Hist-NAT,13.38094550324266,13.216637226057589,13.558267584777786
1913,Hist-NAT,13.353101204248654,13.219835508132132,13.505992745854389
1914,Hist-NAT,13.415371665909156,13.272383637699999,13.556655047244039
1915,Hist-NAT,13.433716464327828,13.25420682567904,13.569939319768475
1916,Hist-NAT,13.427196861685546,13.245748125170019,13.565673397775209
1917,Hist-NAT,13.463854830214995,13.28734476392152,13.608543940980155
1918,Hist-NAT,13.491656875717476,13.332985537807076,13.63773339106561
1919,Hist-NAT,13.495931360511038,13.291174363179783,13.639839083599913
1920,Hist-NAT,13.460058450998387,13.314715148584037,13.587597395565087
1921,Hist-NAT,13.470369737289873,13.348779991904717,13.625713886180971
1922,Hist-NAT,13.459829198706844,13.340291953631567,13.568035491176591
1923,Hist-NAT,13.462832740560023,13.358081565980779,13.545645172437355
1924,Hist-NAT,13.457146176870372,13.362255654481903,13.547437659437781
1925,Hist-NAT,13.476719243767104,13.378524845126629,13.589190955944627
1926,Hist-NAT,13.514273747266438,13.35305421541658,13.647380386496327
1927,Hist-NAT,13.5144558666369,13.333016854267418,13.663472851189141
1928,Hist-NAT,13.490413137428241,13.324786218153264,13.613811649872531
1929,Hist-NAT,13.469453012850405,13.322868140407603,13.59580860745661
1930,Hist-NAT,13.479591880717697,13.337861469277282,13.572904196020431
1931,Hist-NAT,13.459857684569227,13.284915090406292,13.624841906947301
1932,Hist-NAT,13.486662535653654,13.338830383982401,13.661551230295874
1933,Hist-NAT,13.480018868912065,13.29788968864836,13.622895017096852
1934,Hist-NAT,13.486669006663517,13.344145534427458,13.630386729119431
1935,Hist-NAT,13.485261204941102,13.297038650972098,13.654115972535896
1936,Hist-NAT,13.485109857688212,13.352366405191049,13.640104178648068
1937,Hist-NAT,13.495162759351308,13.364147400273145,13.662733306977112
1938,Hist-NAT,13.501526474404763,13.318151606537423,13.707130420720313
1939,Hist-NAT,13.485028184860129,13.313378660556008,13.610011381137515
1940,Hist-NAT,13.511589530908813,13.393501850937742,13.679804956846965
1941,Hist-NAT,13.521330709729302,13.39395578101168,13.636758918408919
1942,Hist-NAT,13.52059065950158,13.369157814211018,13.686352626834537
1943,Hist-NAT,13.51014500095974,13.362964019820812,13.633892629170981
1944,Hist-NAT,13.490932377554042,13.368089528217705,13.613207263741202
1945,Hist-NAT,13.507036852379938,13.327046289895378,13.629303180638312
1946,Hist-NAT,13.502481745908566,13.419883282007646,13.609805978178855
1947,Hist-NAT,13.492193879430806,13.383361678345238,13.632315735260402
1948,Hist-NAT,13.524632015564375,13.371664967704685,13.653068422791666
1949,Hist-NAT,13.5495890039989,13.38385801524438,13.715618032179862
1950,Hist-NAT,13.528229042493173,13.388715467811284,13.645368242230608
1951,Hist-NAT,13.494166856826135,13.372747043959077,13.657964935955055
1952,Hist-NAT,13.51927001005272,13.418651917594621,13.602645970044966
1953,Hist-NAT,13.544041682347801,13.421944611561718,13.713974458097288
1954,Hist-NAT,13.54326669063852,13.401925933597159,13.719993624372922
1955,Hist-NAT,13.525421851037375,13.372872701661896,13.670613858401003
1956,Hist-NAT,13.496667994458239,13.356531892101577,13.648650919108984
1957,Hist-NAT,13.499548716410608,13.388578490987953,13.629997225797092
1958,Hist-NAT,13.53093915016906,13.401646290782555,13.73185143624454
1959,Hist-NAT,13.538692040984134,13.432581940624976,13.647101746346545
1960,Hist-NAT,13.520968115289657,13.386937505788978,13.64941946470093
1961,Hist-NAT,13.54328716215353,13.433836427169245,13.680723311154367
1962,Hist-NAT,13.558674534806503,13.451026629550176,13.69206768117706
1963,Hist-NAT,13.463291608985923,13.349851111489283,13.56918512843581
1964,Hist-NAT,13.351067933753349,13.229035237146064,13.498014245435064
1965,Hist-NAT,13.34460737087475,13.22607500766054,13.472626285279471
1966,Hist-NAT,13.401801295555662,13.26500631443783,13.579281414301164
1967,Hist-NAT,13.427997548392165,13.269731872531025,13.558347149369093
1968,Hist-NAT,13.449122732481062,13.316220735640007,13.582248191497024
1969,Hist-NAT,13.439251170983924,13.276942465100763,13.605881696764868
1970,Hist-NAT,13.440570618837155,13.315603712298003,13.590316176923789
1971,Hist-NAT,13.478519556575032,13.355022653120312,13.632614277956463
1972,Hist-NAT,13.489518987694156,13.307703566114634,13.597328582440701
1973,Hist-NAT,13.510837141133072,13.361229602608848,13.645212044616676
1974,Hist-NAT,13.491879208266031,13.283807536649983,13.627268730445234
1975,Hist-NAT,13.402907395278636,13.265370404280862,13.561665437632502
1976,Hist-NAT,13.41441740365258,13.29908742135529,13.549537061663193
1977,Hist-NAT,13.464263048134029,13.354768848008337,13.565042932412695
1978,Hist-NAT,13.488084164177842,13.38804334911585,13.606576444263329
1979,Hist-NAT,13.482424806958335,13.39545713331409,13.597244803488081
1980,Hist-NAT,13.493352532970919,13.393097335983418,13.612881390001144
1981,Hist-NAT,13.49072646435581,13.370168843136117,13.583094234561576
1982,Hist-NAT,13.460559861058838,13.339890989769192,13.571940844169921
1983,Hist-NAT,13.357701926353558,13.202422496870975,13.482744510000083
1984,Hist-NAT,13.395424429951458,13.30367896024083,13.548656802663213
1985,Hist-NAT,13.388042300634034,13.247730714192624,13.557714385246527
1986,Hist-NAT,13.383921977326,13.20237636557099,13.516343217843332
1987,Hist-NAT,13.406274885410888,13.236501396432867,13.54140829511581
1988,Hist-NAT,13.46211445808226,13.290021679199521,13.608124968565534
1989,Hist-NAT,13.480232588151246,13.334822550777677,13.627064974650427
1990,Hist-NAT,13.453400025865523,13.329287255660239,13.571705918162445
1991,Hist-NAT,13.411969668852572,13.260342882044574,13.545230372807264
1992,Hist-NAT,13.173733577418703,13.07535153396634,13.289631478363992
1993,Hist-NAT,13.203009876638975,13.069167344739133,13.31493057285503
1994,Hist-NAT,13.289766401141916,13.143576145596416,13.40861405037997
1995,Hist-NAT,13.349222732862732,13.190226363049465,13.49160322827812
1996,Hist-NAT,13.381476012071552,13.21189315643793,13.507771982548537
1997,Hist-NAT,13.4045012688729,13.272726645517782,13.553763532277866
1998,Hist-NAT,13.409246641615336,13.276903067849094,13.545383946942144
1999,Hist-NAT,13.449341299125868,13.327567539826116,13.58233022412072
2000,Hist-NAT,13.478449868773293,13.38383095335709,13.585864751909531
2001,Hist-NAT,13.489215231062108,13.35912331955485,13.640330879306338
2002,Hist-NAT,13.518154914442997,13.367842334294703,13.657208877752101
2003,Hist-NAT,13.511643117223151,13.437804728085217,13.614610156112757
2004,Hist-NAT,13.488929046783706,13.37072524472499,13.641287259369
