year,scenario,gmt_mean_c,gmt_p10_c,gmt_p90_c
2076,SSP2-4.5,15.751491152496076,15.599776340703773,15.98968400156723
2077,SSP2-4.5,15.726129722201422,15.575709112592516,15.858082485207381
2078,SSP2-4.5,15.74334577639288,15.592918898405326,15.903217272579031
2079,SSP2-4.5,15.750263067919489,15.589340751828434,15.910905011296217
2080,SSP2-4.5,15.784153622472902,15.678145072022858,15.919262332497283
2081,SSP2-4.5,15.82000141505772,15.70917332496091,15.967357667327496
2082,SSP2-4.5,15.852387637545087,15.733178335690752,15.987708453954065
2083,SSP2-4.5,15.881868582042687,15.76443911997436,15.996617620409575
2084,SSP2-4.5,15.877506063391422,15.738766847460573,16.040774129444866
2085,SSP2-4.5,15.863512890420989,15.78363482958967,15.97496569146881
2086,SSP2-4.5,15.83962410445328,15.68231587678444,16.040395158558674
2087,SSP2-4.5,15.8481713113485,15.684098873949608,15.979232189750713
2088,SSP2-4.5,15.873712042257702,15.717344515370684,15.994075557238592
2089,SSP2-4.5,15.918779857179203,15.77118201170921,16.050197366710243
2090,SSP2-4.5,15.940799305571833,15.787512009250491,16.08747499050233
2091,SSP2-4.5,15.935840844209254,15.744164600205881,16.052482113685414
2092,SSP2-4.5,15.939455717218257,15.84190516472604,16.064900561750754
2093,SSP2-4.5,15.944796028048966,15.834127912846373,16.059385391978385
2094,SSP2-4.5,15.927410350670277,15.76616689983602,16.14803233886438
2095,SSP2-4.5,15.950316348946197,15.81453550415701,16.107197341944165
2096,SSP2-4.5,15.970739266020665,15.753892991954228,16.105105606842642
2097,SSP2-4.5,15.962318528184758,15.763199229418172,16.14465924177536
2098,SSP2-4.5,15.92128630270001,15.783417859961997,16.06239294540656
2099,SSP2-4.5,15.92186954681096,15.783960440478046,16.02839620373132
2100,SSP2-4.5,15.970554600876742,15.847107956145914,16.11420007174947
